"","file","branch","model","predictors","accuracy","TP","FN","FP","TN","accuracy_cMatrix"
"1",0,1,"Logistic Regression","channel_ip",0.828722412185266,22,2652,14,529,0.828722412185266
"2",0,1,"LDA","channel_ip",0.82996580665216,55,2619,51,492,0.82996580665216
"3",0,1,"QDA","channel_ip",0.828722412185266,102,2572,94,449,0.828722412185266
"4",0,1,"SVM","channel_ip",0.831209201119055,0,2674,0,543,0.831209201119055
"5",0,1,"NaiveBayes","channel_ip",0.831209201119055,0,2674,0,543,0.831209201119055
"6",0,1,"Logistic Regression","channel_ip+channel_ip_app",0.851725209822816,45,2629,111,432,0.851725209822816
"7",0,1,"LDA","channel_ip+channel_ip_app",0.848927572272303,62,2612,119,424,0.848927572272303
"8",0,1,"QDA","channel_ip+channel_ip_app",0.840223811004041,109,2565,138,405,0.840223811004041
"9",0,1,"SVM","channel_ip+channel_ip_app",0.852346907056264,43,2631,111,432,0.852346907056264
"10",0,1,"NaiveBayes","channel_ip+channel_ip_app",0.831209201119055,0,2674,0,543,0.831209201119055
"11",0,1,"Logistic Regression","os+channel_ip+channel_ip_app",0.851103512589369,46,2628,110,433,0.851103512589369
"12",0,1,"LDA","os+channel_ip+channel_ip_app",0.84861672365558,63,2611,119,424,0.84861672365558
"13",0,1,"QDA","os+channel_ip+channel_ip_app",0.824370531551135,188,2486,166,377,0.824370531551135
"14",0,1,"SVM","os+channel_ip+channel_ip_app",0.852346907056264,43,2631,111,432,0.852346907056264
"15",0,1,"NaiveBayes","os+channel_ip+channel_ip_app",0.831209201119055,0,2674,0,543,0.831209201119055
"16",0,1,"Logistic Regression","os+channel+channel_ip+channel_ip_app",0.851725209822816,45,2629,111,432,0.851725209822816
"17",0,1,"LDA","os+channel+channel_ip+channel_ip_app",0.848305875038856,66,2608,121,422,0.848305875038856
"18",0,1,"QDA","os+channel+channel_ip+channel_ip_app",0.81380167858253,239,2435,183,360,0.81380167858253
"19",0,1,"SVM","os+channel+channel_ip+channel_ip_app",0.852657755672987,43,2631,112,431,0.852657755672987
"20",0,1,"NaiveBayes","os+channel+channel_ip+channel_ip_app",0.831209201119055,0,2674,0,543,0.831209201119055
"21",0,1,"Logistic Regression","ip+os+channel+channel_ip+channel_ip_app",0.853590301523158,45,2629,117,426,0.853590301523158
"22",0,1,"LDA","ip+os+channel+channel_ip+channel_ip_app",0.851414361206093,62,2612,127,416,0.851414361206093
"23",0,1,"QDA","ip+os+channel+channel_ip+channel_ip_app",0.796705004662729,337,2337,226,317,0.796705004662729
"24",0,1,"SVM","ip+os+channel+channel_ip+channel_ip_app",0.852346907056264,43,2631,111,432,0.852346907056264
"25",0,1,"NaiveBayes","ip+os+channel+channel_ip+channel_ip_app",0.831209201119055,0,2674,0,543,0.831209201119055
"26",0,1,"Logistic Regression","ip+os+channel+channel_app+channel_ip+channel_ip_app",0.854211998756606,45,2629,119,424,0.854211998756605
"27",0,1,"LDA","ip+os+channel+channel_app+channel_ip+channel_ip_app",0.849549269505751,66,2608,125,418,0.849549269505751
"28",0,1,"QDA","ip+os+channel+channel_app+channel_ip+channel_ip_app",0.787690394777743,373,2301,233,310,0.787690394777743
"29",0,1,"SVM","ip+os+channel+channel_app+channel_ip+channel_ip_app",0.852346907056264,44,2630,112,431,0.852346907056264
"30",0,1,"NaiveBayes","ip+os+channel+channel_app+channel_ip+channel_ip_app",0.831209201119055,0,2674,0,543,0.831209201119055
"31",0,1,"Logistic Regression","ip+device+os+channel+channel_app+channel_ip+channel_ip_app",0.854833695990053,46,2628,122,421,0.854833695990053
"32",0,1,"LDA","ip+device+os+channel+channel_app+channel_ip+channel_ip_app",0.849860118122474,65,2609,125,418,0.849860118122474
"33",0,1,"QDA","ip+device+os+channel+channel_app+channel_ip+channel_ip_app",0.782716816910165,405,2269,249,294,0.782716816910165
"34",0,1,"SVM","ip+device+os+channel+channel_app+channel_ip+channel_ip_app",0.852346907056264,44,2630,112,431,0.852346907056264
"35",0,1,"NaiveBayes","ip+device+os+channel+channel_app+channel_ip+channel_ip_app",0.831209201119055,0,2674,0,543,0.831209201119055
"36",0,1,"Logistic Regression","ip+app+os+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.854211998756606,46,2628,120,423,0.854211998756605
"37",0,1,"LDA","ip+app+os+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.849549269505751,68,2606,127,416,0.849549269505751
"38",0,1,"QDA","ip+app+os+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.753807895554865,529,2145,280,263,0.753807895554865
"39",0,1,"SVM","ip+app+os+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.852346907056264,44,2630,112,431,0.852346907056264
"40",0,1,"NaiveBayes","ip+app+os+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.831209201119055,0,2674,0,543,0.831209201119055
"41",0,2,"Logistic Regression","channel_ip",0.986216540151818,69,0,4937,0,0.986216540151818
"42",0,2,"LDA","channel_ip",0.986216540151818,69,0,4937,0,0.986216540151818
"43",0,2,"QDA","channel_ip",0.986216540151818,69,0,4937,0,0.986216540151818
"44",0,2,"SVM","channel_ip",0.986216540151818,69,0,4937,0,0.986216540151818
"45",0,2,"NaiveBayes","channel_ip",0.0137834598481822,0,69,0,4937,0.0137834598481822
"46",0,2,"Logistic Regression","app+ip_app",0.986815821014782,65,4,4936,1,0.986815821014782
"47",0,2,"LDA","app+ip_app",0.970435477427087,49,20,4838,99,0.970435477427087
"48",0,2,"QDA","app+ip_app",0.972433080303636,51,18,4850,87,0.972433080303636
"49",0,2,"SVM","app+ip_app",0.986216540151818,69,0,4937,0,0.986216540151818
"50",0,2,"NaiveBayes","app+ip_app",0.0137834598481822,0,69,0,4937,0.0137834598481822
"51",0,2,"Logistic Regression","app+device+ip_app",0.986815821014782,65,4,4936,1,0.986815821014782
"52",0,2,"LDA","app+device+ip_app",0.976028765481422,54,15,4871,66,0.976028765481422
"53",0,2,"QDA","app+device+ip_app",0.987015581302437,64,5,4936,1,0.987015581302437
